,Date,Location,Deaths,Injuries,Description,Suspects Deaths,Suspects Injuries,Total,dt,City,State,Location_,loc,loc_name,loc_coords,lat,long,Month,Year,Day
0,"November 12, 1840","Charlottesville, Virginia",1,0,"John Anthony Gardner Davis, a law professor at the University of Virginia, was fatally shot by student Joseph Semmes, and died 3 days later.[1][2]",0,0,1,1840-11-12,Charlottesville,Virginia,"Charlottesville, Virginia","Charlottesville, Virginia, USA","Charlottesville, Virginia, USA","(38.029306, -78.4766781)",38.029306,-78.4766781,11,1840,12
1,"November 2, 1853","Louisville, Kentucky",1,0,"Student Mathews Flounoy Ward shot the schoolmaster William H.G. Butler as revenge for what Ward thought was excessive punishment of his brother the day before. Butler died, and Ward was acquitted.[3]",0,0,1,1853-11-02,Louisville,Kentucky,"Louisville, Kentucky","Louisville, Jefferson County, Kentucky, USA","Louisville, Jefferson County, Kentucky, USA","(38.2542376, -85.759407)",38.2542376,-85.759407,11,1853,2
2,"August 16, 1856","Florence, Alabama",2,0,"The schoolmaster warned students not to harm his tame sparrow, threatening death. One of the boys stepped on the bird and killed it. When the boy returned to school, the master took the boy into a private room and strangled him. The boy's father upon hearing what had happened went to the school and shot the schoolmaster dead.[4]",0,0,2,1856-08-16,Florence,Alabama,"Florence, Alabama","Florence, Lauderdale County, Alabama, USA","Florence, Lauderdale County, Alabama, USA","(34.79981, -87.677251)",34.79981,-87.677251,8,1856,16
3,"July 8, 1858","Baltimore, Maryland",1,0,"The 15-year-old son of Col. John T. Farlow (Baltimore's Marshal of Police 1867–70), was killed during a Sabbath School gathering. The perpetrator escaped, but several arrests were made.[5]",0,0,1,1858-07-08,Baltimore,Maryland,"Baltimore, Maryland","Baltimore, Maryland, 21203, USA","Baltimore, Maryland, 21203, USA","(39.2908816, -76.610759)",39.2908816,-76.610759,7,1858,8
4,"January 21, 1860","Todd County, Kentucky",1,0,A son of Col. Elijah Sebree was killed by another student. Young Sebree was threatening the other boy; the latter   student got a gun and fatally shot Sebree in the schoolhouse.[6],0,0,1,1860-01-21,Todd County,Kentucky,"Todd County, Kentucky","Todd County, Kentucky, USA","Todd County, Kentucky, USA","(36.8098474, -87.1728185)",36.8098474,-87.1728185,1,1860,21
5,"February 6, 1864","Ashland County, Ohio",1,0,"George W. Longfelt, the school teacher of the Pyfer's School House, killed student Alfred Desem and fled.[7]",0,0,1,1864-02-06,Ashland County,Ohio,"Ashland County, Ohio","Ashland County, Ohio, USA","Ashland County, Ohio, USA","(40.7887367, -82.2360391)",40.7887367,-82.2360391,2,1864,6
6,"February 16, 1867","Knights Ferry, California",2,0,"Mr. McGinnis was killed by his daughter's teacher after McGinnis threatened the teacher for expelling his daughter from school. When McGinnis' son learned of this, he went to the school and killed the teacher.[8]",1,0,2,1867-02-16,Knights Ferry,California,"Knights Ferry, California","Knights Ferry, Stanislaus County, California, United States of America","Knights Ferry, Stanislaus County, California, United States of America","(37.8196499, -120.6721494)",37.8196499,-120.6721494,2,1867,16
7,"April 2, 1867","Madison, Florida",1,0,"Frank Pope, a pupil at St. John's seminary, shot and killed his teacher Mr. Bristow.[9]",0,0,1,1867-04-02,Madison,Florida,"Madison, Florida","Madison County, Florida, USA","Madison County, Florida, USA","(30.4514352, -83.4524524)",30.4514352,-83.4524524,4,1867,2
8,"June 8, 1867","New York City, New York",0,1,"13-year-old Arthur Day secretly took a loaded pistol to PS No. 18 to shoot a dog he said had bitten him. While playing with the pistol, Day accidentally shot and wounded classmate Robert Morton.[10]",0,0,1,1867-06-08,New York City,New York,"New York City, New York","NYC, New York, United States of America","NYC, New York, United States of America","(40.7127281, -74.0060152)",40.7127281,-74.0060152,6,1867,8
9,"January 27, 1871","Knoxville, Tennessee",1,0,"John Roberts, aged ten or twelve, was accidentally shot in the eye at school and died.[11]",0,0,1,1871-01-27,Knoxville,Tennessee,"Knoxville, Tennessee","Knoxville, Knox County, Tennessee, USA","Knoxville, Knox County, Tennessee, USA","(35.9603948, -83.9210261)",35.9603948,-83.9210261,1,1871,27
