,Date,Location,Dead,Injured,Total,Description,dt,Suspects Dead,Suspects Injured,Year,Month,Day,loc,loc_name,loc_coords,lat,long,wrapped_descr,City,State
0,"August 4, 2019","Dayton, Ohio",10,26,36,2019 Dayton shooting: At least 10 people were killed and 26 injured outside a bar after a person was denied entry.,2019-08-04,0,0,2019,8,4,"Dayton, Montgomery County, Ohio, USA","Dayton, Montgomery County, Ohio, USA","(39.7589478, -84.1916069)",39.7589478,-84.1916069,"2019 Dayton
shooting: At least
10 people were
killed and 26
injured outside a
bar after a person
was denied entry.",Dayton, Ohio
1,"August 3, 2019","El Paso, Texas",20,26,46,2019 El Paso shooting: 20 people were killed and 26 were injured at a Walmart near the Cielo Vista Mall. One suspect was taken into custody.[11],2019-08-03,0,0,2019,8,3,"El Paso, El Paso County, Texas, USA","El Paso, El Paso County, Texas, USA","(31.7600372, -106.487287)",31.7600372,-106.487287,"2019 El Paso
shooting: 20 people
were killed and 26
were injured at a
Walmart near the
Cielo Vista Mall.
One suspect was
taken into
custody.[11]",El Paso, Texas
2,"August 2, 2019","Pomfret, Maryland",3,1,4,"A man shot and killed his in-laws, and wounded an 11-year-old boy sitting in a relative's car before committing suicide.[12]",2019-08-02,1,0,2019,8,2,"Pomfret, Charles County, Maryland, 20675, USA","Pomfret, Charles County, Maryland, 20675, USA","(38.5773417, -77.030531)",38.5773417,-77.030531,"A man shot and
killed his in-laws,
and wounded an
11-year-old boy
sitting in a
relative's car
before committing
suicide.[12]",Pomfret, Maryland
3,"August 2, 2019","Suffolk, Virginia",2,3,5,"Two men were killed, and two women and a two-year-old were wounded in multiple crime scenes.[13]",2019-08-02,0,0,2019,8,2,"Suffolk, Suffolk (city), Virginia, 23434, USA","Suffolk, Suffolk (city), Virginia, 23434, USA","(36.7282096, -76.5835703)",36.7282096,-76.5835703,"Two men were killed,
and two women and a
two-year-old were
wounded in multiple
crime scenes.[13]",Suffolk, Virginia
4,"July 31, 2019","Elkhart, Indiana",3,1,4,"Police responding to shots fired at a senior living complex discovered a wounded woman, and two males and a woman deceased. It is believed one of the deceased males was the shooter.[14]",2019-07-31,1,0,2019,7,31,"Elkhart, Elkhart County, Indiana, USA","Elkhart, Elkhart County, Indiana, USA","(41.6819935, -85.9766671)",41.6819935,-85.9766671,"Police responding to
shots fired at a
senior living
complex discovered a
wounded woman, and
two males and a
woman deceased. It
is believed one of
the deceased males
was the shooter.[14]",Elkhart, Indiana
5,"July 30, 2019","Southaven, Mississippi",2,2,4,"At a Walmart store, a man killed two people then wounded a police officer before being shot by police and arrested.[15]",2019-07-30,0,1,2019,7,30,"Southaven, DeSoto County, Mississippi, USA","Southaven, DeSoto County, Mississippi, USA","(34.9889818, -90.0125913)",34.9889818,-90.0125913,"At a Walmart store,
a man killed two
people then wounded
a police officer
before being shot by
police and
arrested.[15]",Southaven, Mississippi
6,"July 30, 2019","Haskell, Oklahoma",0,4,4,"During an attempted home invasion, shots were fired and four people were wounded.[16]",2019-07-30,0,0,2019,7,30,"Haskell County, Oklahoma, USA","Haskell County, Oklahoma, USA","(35.2084387, -95.1115771)",35.2084387,-95.1115771,"During an attempted
home invasion, shots
were fired and four
people were
wounded.[16]",Haskell, Oklahoma
7,"July 30, 2019","Rosenberg, Texas",3,1,4,"A man shot and killed his ex-girlfriends parents, and wounded her, before committing suicide in a murder-suicide.[17]",2019-07-30,1,0,2019,7,30,"Rosenberg, Fort Bend County, Texas, 77471, USA","Rosenberg, Fort Bend County, Texas, 77471, USA","(29.5571825, -95.8085623)",29.5571825,-95.8085623,"A man shot and
killed his ex-
girlfriends parents,
and wounded her,
before committing
suicide in a murder-
suicide.[17]",Rosenberg, Texas
8,"July 30, 2019","Columbus, Ohio",0,5,5,Five people were shot at a party at a home rented through Airbnb.[18],2019-07-30,0,0,2019,7,30,"Columbus, Franklin County, Ohio, USA","Columbus, Franklin County, Ohio, USA","(39.9622601, -83.0007065)",39.9622601,-83.0007065,"Five people were
shot at a party at a
home rented through
Airbnb.[18]",Columbus, Ohio
9,"July 28, 2019","Chippewa Falls, Wisconsin",5,2,7,"A gunman shot six people, four fatally, before killing himself.[19]",2019-07-28,1,0,2019,7,28,"Chippewa Falls, Chippewa County, Wisconsin, 54729, USA","Chippewa Falls, Chippewa County, Wisconsin, 54729, USA","(44.9369054, -91.3929348)",44.9369054,-91.3929348,"A gunman shot six
people, four
fatally, before
killing himself.[19]",Chippewa Falls, Wisconsin
10,"July 28, 2019","Gilroy, California",4,12,16,"Gilroy Garlic Festival shooting: Sixteen people were shot, four fatally, including a gunman and two children, at the Gilroy Garlic Festival.[20]",2019-07-28,1,0,2019,7,28,"Gilroy, Santa Clara County, California, USA","Gilroy, Santa Clara County, California, USA","(37.0065078, -121.5631723)",37.0065078,-121.5631723,"Gilroy Garlic
Festival shooting:
Sixteen people were
shot, four fatally,
including a gunman
and two children, at
the Gilroy Garlic
Festival.[20]",Gilroy, California
11,"July 28, 2019","Uniontown, Pennsylvania",0,4,4,Four people were wounded on two separate streets in connection with a large party.[21],2019-07-28,0,0,2019,7,28,"Uniontown, Fayette County, Pennsylvania, USA","Uniontown, Fayette County, Pennsylvania, USA","(39.900076, -79.7164326)",39.900076,-79.7164326,"Four people were
wounded on two
separate streets in
connection with a
large party.[21]",Uniontown, Pennsylvania
12,"July 28, 2019","Philadelphia, Pennsylvania",1,5,6,One man was killed and five were injured by an unknown perpetrator as the victims were preparing to shoot a rap video.[22],2019-07-28,0,0,2019,7,28,"Philadelphia, Philadelphia County, Pennsylvania, USA","Philadelphia, Philadelphia County, Pennsylvania, USA","(39.9527237, -75.1635262)",39.9527237,-75.1635262,"One man was killed
and five were
injured by an
unknown perpetrator
as the victims were
preparing to shoot a
rap video.[22]",Philadelphia, Pennsylvania
13,"July 28, 2019","Chicago, Illinois",0,4,4,One woman and three men were wounded in a drive-by shooting outside of a Lawndale gas station.[23],2019-07-28,0,0,2019,7,28,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"One woman and three
men were wounded in
a drive-by shooting
outside of a
Lawndale gas
station.[23]",Chicago, Illinois
14,"July 28, 2019","Washington, D.C.",0,4,4,Four people were shot and injured while standing outside of a bar/nightclub.[24],2019-07-28,0,0,2019,7,28,"Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,"Four people were
shot and injured
while standing
outside of a
bar/nightclub.[24]",Washington, D.C.
15,"July 27, 2019","Wichita, Kansas",1,3,4,One man was killed and three were injured after an altercation at an apartment complex. The suspect was later arrested.[25],2019-07-27,0,0,2019,7,27,"Wichita, Sedgwick County, Kansas, USA","Wichita, Sedgwick County, Kansas, USA","(37.6922361, -97.3375448)",37.6922361,-97.3375448,"One man was killed
and three were
injured after an
altercation at an
apartment complex.
The suspect was
later arrested.[25]",Wichita, Kansas
16,"July 27, 2019","Brooklyn, New York",1,12,13,"Thirteen people were shot, one fatally, at a playground in Brownsville.[26]",2019-07-27,0,0,2019,7,27,"BK, Kings County, NYC, New York, USA","BK, Kings County, NYC, New York, USA","(40.6501038, -73.9495823)",40.6501038,-73.9495823,"Thirteen people were
shot, one fatally,
at a playground in
Brownsville.[26]",Brooklyn, New York
